iter	Passed	Remaining
413	3452	4886
414	3460	4877
415	3468	4869
416	3476	4860
417	3485	4852
418	3493	4843
419	3501	4835
420	3510	4827
421	3518	4819
422	3526	4810
423	3535	4803
424	3543	4794
425	3550	4784
426	3559	4776
427	3567	4767
428	3575	4759
429	3583	4750
430	3591	4742
431	3600	4733
432	3609	4726
433	3617	4718
434	3626	4709
435	3633	4700
436	3641	4691
437	3649	4682
438	3657	4673
439	3665	4665
440	3673	4656
441	3681	4647
442	3689	4638
443	3697	4630
444	3704	4620
445	3712	4611
446	3720	4602
447	3728	4593
448	3736	4584
449	3744	4576
450	3751	4567
451	3760	4558
452	3768	4549
453	3775	4541
454	3786	4535
455	3794	4526
456	3803	4519
457	3811	4510
458	3819	4501
459	3827	4492
460	3835	4483
461	3842	4474
462	3850	4465
463	3858	4457
464	3866	4448
465	3873	4439
466	3882	4430
467	3889	4421
468	3898	4413
469	3906	4405
470	3914	4396
471	3922	4387
472	3930	4379
473	3938	4370
474	3946	4361
475	3955	4353
476	3964	4346
477	3972	4338
478	3980	4329
479	3988	4321
480	3996	4312
481	4004	4303
482	4012	4295
483	4020	4286
484	4028	4277
485	4035	4268
486	4043	4258
487	4050	4250
488	4058	4241
489	4066	4232
490	4074	4224
491	4082	4215
492	4090	4206
493	4098	4198
494	4106	4189
495	4115	4182
496	4123	4173
497	4133	4166
498	4142	4159
499	4151	4151
500	4158	4142
501	4166	4133
502	4174	4125
503	4182	4116
504	4190	4107
505	4198	4098
506	4206	4090
507	4214	4081
508	4222	4073
509	4230	4064
510	4237	4055
511	4245	4046
512	4253	4037
513	4260	4028
514	4268	4019
515	4276	4010
516	4284	4003
517	4295	3996
518	4303	3988
519	4312	3980
520	4322	3973
521	4330	3965
522	4338	3957
523	4346	3947
524	4353	3939
525	4362	3930
526	4369	3922
527	4378	3913
528	4385	3905
529	4394	3896
530	4401	3887
531	4410	3879
532	4418	3871
533	4426	3863
534	4434	3854
535	4442	3846
536	4450	3837
537	4458	3828
538	4466	3820
539	4474	3811
540	4483	3803
541	4491	3795
542	4499	3786
543	4507	3778
544	4515	3769
545	4524	3761
546	4531	3752
547	4538	3743
548	4546	3734
549	4553	3725
550	4560	3716
551	4568	3707
552	4575	3698
553	4583	3690
554	4590	3680
555	4598	3672
556	4606	3663
557	4613	3654
558	4621	3646
559	4629	3637
560	4637	3628
561	4644	3619
562	4652	3611
563	4661	3603
564	4668	3594
565	4676	3585
566	4683	3576
567	4690	3567
568	4693	3555
569	4701	3546
570	4708	3537
571	4716	3528
572	4723	3519
573	4731	3511
574	4738	3502
575	4745	3493
576	4752	3484
577	4759	3475
578	4766	3465
579	4773	3456
580	4780	3447
581	4788	3438
582	4795	3429
583	4802	3421
584	4810	3412
585	4817	3403
586	4825	3395
587	4834	3387
588	4842	3378
589	4850	3370
590	4857	3361
591	4864	3352
592	4872	3343
593	4879	3335
594	4887	3326
595	4894	3317
596	4902	3309
597	4909	3300
598	4916	3291
599	4924	3282
600	4931	3274
601	4938	3265
602	4945	3256
603	4953	3247
604	4960	3238
605	4968	3230
606	4975	3221
607	4982	3212
608	4991	3204
609	5000	3196
610	5009	3189
611	5018	3181
612	5027	3173
613	5035	3165
614	5043	3157
615	5051	3149
616	5059	3140
617	5068	3132
618	5076	3124
619	5084	3116
620	5092	3108
621	5101	3100
622	5109	3091
623	5117	3083
624	5125	3075
625	5133	3067
626	5142	3059
627	5149	3050
628	5157	3042
629	5167	3034
630	5175	3026
631	5185	3019
632	5193	3011
633	5202	3003
634	5210	2995
635	5219	2987
636	5228	2979
637	5235	2970
638	5244	2962
639	5251	2954
640	5259	2945
641	5267	2937
642	5276	2929
643	5284	2921
644	5292	2913
645	5300	2904
646	5309	2896
647	5316	2887
648	5324	2879
649	5332	2871
650	5340	2862
651	5348	2854
652	5356	2846
653	5364	2838
654	5373	2830
655	5381	2822
656	5390	2814
657	5397	2805
658	5405	2797
659	5413	2788
660	5421	2780
661	5429	2772
662	5437	2763
663	5445	2755
664	5454	2747
665	5462	2739
666	5471	2731
667	5478	2723
668	5486	2714
669	5495	2706
670	5503	2698
671	5511	2690
672	5519	2681
673	5527	2673
674	5536	2665
675	5544	2657
676	5553	2649
677	5560	2640
678	5568	2632
679	5576	2624
680	5584	2616
681	5592	2607
682	5600	2599
683	5608	2590
684	5615	2582
685	5623	2573
686	5631	2565
687	5638	2557
688	5647	2549
689	5672	2548
690	5680	2540
691	5687	2531
692	5696	2523
693	5703	2514
694	5711	2506
695	5719	2498
696	5728	2490
697	5737	2482
698	5745	2474
699	5753	2465
700	5760	2457
701	5768	2448
702	5776	2440
703	5783	2431
704	5791	2423
705	5798	2414
706	5806	2406
707	5813	2397
708	5821	2389
709	5828	2380
710	5835	2372
711	5843	2363
712	5851	2355
713	5859	2347
714	5867	2338
715	5876	2330
716	5885	2322
717	5893	2314
718	5901	2306
719	5908	2297
720	5916	2289
721	5924	2281
722	5932	2272
723	5940	2264
724	5947	2256
725	5955	2247
726	5963	2239
727	5970	2230
728	5978	2222
729	5986	2214
730	5994	2205
731	6001	2197
732	6009	2188
733	6016	2180
734	6024	2171
735	6031	2163
736	6039	2155
737	6047	2147
738	6055	2138
739	6064	2130
740	6073	2122
741	6080	2114
742	6089	2106
743	6097	2097
744	6105	2089
745	6113	2081
746	6121	2073
747	6130	2065
748	6138	2057
749	6146	2048
750	6154	2040
751	6162	2032
752	6170	2024
753	6178	2015
754	6186	2007
755	6194	1999
756	6202	1990
757	6210	1982
758	6217	1974
759	6225	1966
760	6234	1957
761	6242	1949
762	6251	1941
763	6260	1933
764	6267	1925
765	6275	1917
766	6283	1908
767	6291	1900
768	6299	1892
769	6306	1883
770	6315	1875
771	6322	1867
772	6330	1859
773	6338	1850
774	6346	1842
775	6355	1834
776	6363	1826
777	6371	1818
778	6379	1809
779	6387	1801
780	6395	1793
781	6403	1785
782	6411	1776
783	6421	1769
784	6429	1761
785	6438	1752
786	6445	1744
787	6453	1736
788	6461	1728
789	6469	1719
790	6477	1711
791	6485	1703
792	6493	1694
793	6500	1686
794	6508	1678
795	6516	1670
796	6524	1661
797	6532	1653
798	6540	1645
799	6548	1637
800	6556	1628
801	6564	1620
802	6572	1612
803	6581	1604
804	6589	1596
805	6598	1588
806	6607	1580
807	6617	1572
808	6626	1564
809	6634	1556
810	6642	1548
811	6650	1539
812	6658	1531
813	6666	1523
814	6674	1515
815	6682	1506
816	6690	1498
817	6698	1490
818	6706	1482
819	6714	1473
820	6722	1465
821	6730	1457
822	6738	1449
823	6746	1441
824	6755	1432
825	6763	1424
826	6771	1416
827	6780	1408
828	6788	1400
829	6795	1391
830	6803	1383
831	6811	1375
832	6819	1367
833	6826	1358
834	6833	1350
835	6841	1342
836	6848	1333
837	6856	1325
838	6863	1317
839	6871	1308
840	6878	1300
841	6886	1292
842	6893	1283
843	6901	1275
844	6909	1267
845	6916	1259
846	6925	1250
847	6934	1242
848	6943	1234
849	6952	1226
850	6962	1218
851	6970	1210
852	6978	1202
853	6986	1194
854	6995	1186
855	7003	1178
856	7011	1169
857	7020	1161
858	7028	1153
859	7040	1146
860	7048	1137
861	7057	1129
862	7066	1121
863	7076	1113
864	7085	1105
865	7095	1097
866	7106	1090
867	7113	1081
868	7122	1073
869	7132	1065
870	7144	1058
871	7155	1050
872	7164	1042
873	7174	1034
874	7183	1026
875	7192	1018
876	7202	1010
877	7211	1002
878	7221	994
879	7229	985
880	7239	977
881	7247	969
882	7256	961
883	7266	953
884	7275	945
885	7285	937
886	7294	929
887	7302	921
888	7312	913
889	7320	904
890	7329	896
891	7338	888
892	7346	880
893	7356	872
894	7364	863
895	7372	855
896	7380	847
897	7388	839
898	7396	830
899	7404	822
900	7412	814
901	7420	806
902	7428	797
903	7436	789
904	7446	781
905	7456	773
906	7464	765
907	7473	757
908	7481	748
909	7491	740
910	7500	732
911	7508	724
912	7516	716
913	7524	708
914	7533	699
915	7541	691
916	7550	683
917	7559	675
918	7567	666
919	7575	658
920	7584	650
921	7592	642
922	7600	634
923	7609	625
924	7617	617
925	7626	609
926	7634	601
927	7643	592
928	7651	584
929	7660	576
930	7670	568
931	7679	560
932	7687	552
933	7695	543
934	7703	535
935	7712	527
936	7720	519
937	7728	510
938	7736	502
939	7744	494
940	7752	486
941	7761	477
942	7769	469
943	7777	461
944	7785	453
945	7793	444
946	7801	436
947	7809	428
948	7817	420
949	7826	411
950	7835	403
951	7843	395
952	7852	387
953	7860	379
954	7868	370
955	7877	362
956	7885	354
957	7893	346
958	7901	337
959	7909	329
960	7917	321
961	7925	313
962	7933	304
963	7941	296
964	7949	288
965	7959	280
966	7967	271
967	7975	263
968	7982	255
969	7991	247
970	7999	238
971	8008	230
972	8017	222
973	8026	214
974	8035	206
975	8043	197
976	8052	189
977	8060	181
978	8068	173
979	8077	164
980	8085	156
981	8093	148
982	8102	140
983	8110	131
984	8118	123
985	8127	115
986	8135	107
987	8144	98
988	8153	90
989	8164	82
990	8172	74
991	8181	65
992	8190	57
993	8198	49
994	8206	41
995	8214	32
996	8222	24
997	8230	16
998	8238	8
999	8246	0
