iter	Logloss
0	0.6442447094
1	0.6023376528
2	0.5635960164
3	0.5299747032
4	0.4992596429
5	0.4702755041
6	0.4446983403
7	0.4223283371
8	0.4031697841
9	0.3850384811
10	0.3683800354
11	0.3518056517
12	0.3385910215
13	0.3260920843
14	0.3141718821
15	0.3030828848
16	0.2936006525
17	0.2853947391
18	0.2775715952
19	0.2704931475
20	0.2622793985
21	0.2565032469
22	0.2508525252
23	0.2457865151
24	0.241974061
25	0.2374019738
26	0.23420686
27	0.2305967124
28	0.2272176058
29	0.2244039439
30	0.2214978003
31	0.2186126571
32	0.2163257603
33	0.2137964756
34	0.2107475735
35	0.2090035784
36	0.2075572852
37	0.2061342065
38	0.2043471229
39	0.2001295339
40	0.1987368751
41	0.1973803173
42	0.1961159707
43	0.1950524578
44	0.1939354709
45	0.1928141183
46	0.1916718016
47	0.1906617774
48	0.1896487781
49	0.1887235499
50	0.1879409346
51	0.1872695753
52	0.1864789031
53	0.1858713797
54	0.1854082685
55	0.1844244626
56	0.1837186969
57	0.183074937
58	0.1825393131
59	0.1803894503
60	0.1789558717
61	0.178621108
62	0.1770351458
63	0.1766817335
64	0.1754117516
65	0.1751218826
66	0.1740248349
67	0.1733813515
68	0.1724862867
69	0.1721849488
70	0.1718709412
71	0.1714959622
72	0.1710265419
73	0.1703760586
74	0.1701289429
75	0.1699178137
76	0.1696474007
77	0.1693367852
78	0.1690525117
79	0.1686348595
80	0.1682944373
81	0.1679821551
82	0.167808887
83	0.1674714399
84	0.1671341642
85	0.1668170942
86	0.166539566
87	0.1660753704
88	0.1658703139
89	0.1656233799
90	0.165369096
91	0.1650833319
92	0.1648669572
93	0.1645940371
94	0.1643933484
95	0.16416602
96	0.163576203
97	0.1633837396
98	0.1629940782
99	0.1627983846
100	0.1624464117
101	0.1622872328
102	0.1620702217
103	0.1618879667
104	0.1615962914
105	0.1614367689
106	0.1612537947
107	0.1610923073
108	0.1609254215
109	0.1607528175
110	0.160335294
111	0.1598529025
112	0.1595969338
113	0.1592982826
114	0.1590740185
115	0.1589518571
116	0.1588204113
117	0.1586034901
118	0.1584279279
119	0.1581416944
120	0.1580433255
121	0.1578996023
122	0.1577764578
123	0.1575961009
124	0.1574329469
125	0.1572424797
126	0.1570733149
127	0.1569570074
128	0.1568632025
129	0.1566409669
130	0.15647335
131	0.1562729486
132	0.156031668
133	0.1558940348
134	0.1557471416
135	0.1556326772
136	0.1555472379
137	0.1553707857
138	0.1552714107
139	0.1551126541
140	0.1549695705
141	0.1548327613
142	0.1547025226
143	0.1544765388
144	0.1543279601
145	0.1541495636
146	0.1538798129
147	0.1537797694
148	0.1535969123
149	0.1534319928
150	0.1532227074
151	0.1529626206
152	0.1526509579
153	0.1524379327
154	0.152262382
155	0.152050641
156	0.1519145271
157	0.1517786849
158	0.1516955814
159	0.1515382776
160	0.1514268078
161	0.1513141249
162	0.1512373193
163	0.1510902611
164	0.1509439749
165	0.1507832669
166	0.1506845774
167	0.1504546241
168	0.1501937887
169	0.1500949839
170	0.1498053239
171	0.149672928
172	0.1495479937
173	0.149267518
174	0.1491579859
175	0.1488795008
176	0.1487064623
177	0.14861756
178	0.1484742547
179	0.148390492
180	0.1482034528
181	0.1481012152
182	0.1479616249
183	0.147639904
184	0.1474473993
185	0.1472697968
186	0.1470457072
187	0.1469569746
188	0.1468845371
189	0.1466680671
190	0.1465098612
191	0.1463456978
192	0.1462548427
193	0.1461347256
194	0.1460028684
195	0.1459394754
196	0.1458539277
197	0.1457719565
198	0.145571526
199	0.1454959934
200	0.1453416173
201	0.1451948624
202	0.1451196437
203	0.1449370638
204	0.1448554746
205	0.1447718913
206	0.1446486186
207	0.1445807948
208	0.1445038325
209	0.1443259324
210	0.1441696135
211	0.1440932301
212	0.1440281878
213	0.143867679
214	0.1437196905
215	0.1435630097
216	0.1434313865
217	0.1432333786
218	0.1431203184
219	0.1429197132
220	0.1427420096
221	0.1426495525
222	0.1425364404
223	0.1424911223
224	0.1423189825
225	0.1422077518
226	0.1421050435
227	0.141960212
228	0.1418320784
229	0.1417828703
230	0.1416203601
231	0.1415079021
232	0.1414187996
233	0.1413330896
234	0.1411856139
235	0.1410771623
236	0.140962927
237	0.1408689397
238	0.1406926226
239	0.1405785202
240	0.140499516
241	0.140390374
242	0.1402981851
243	0.1401898849
244	0.1400951502
245	0.1398492219
246	0.139742701
247	0.1396434146
248	0.1395186724
249	0.139415531
250	0.1393372752
251	0.1392450267
252	0.1391337657
253	0.1390681695
254	0.1389357134
255	0.138839589
256	0.1387036025
257	0.1386170616
258	0.1385077199
259	0.1383744434
260	0.1381415517
261	0.1380655046
262	0.1379964772
263	0.1378536744
264	0.1377971462
265	0.1377205024
266	0.1375822895
267	0.1374501513
268	0.1373750418
269	0.137233109
270	0.1370698484
271	0.1369466456
272	0.1368401068
273	0.1367636137
274	0.1366875668
275	0.1364978557
276	0.1364139342
277	0.1362880188
278	0.1362024493
279	0.136053918
280	0.1359455208
281	0.1358696665
282	0.135783739
283	0.135691709
284	0.1355733947
285	0.1355015746
286	0.135387823
287	0.1352529478
288	0.1351480338
289	0.1350152648
290	0.1348363151
291	0.1347556913
292	0.1346519146
293	0.1345243691
294	0.134417634
295	0.1342810358
296	0.1342033413
297	0.1341150043
298	0.1339738645
299	0.1338498668
300	0.1337576165
301	0.1336447311
302	0.1335542133
303	0.1334632024
304	0.1333660073
305	0.1332018956
306	0.1330939337
307	0.1330242249
308	0.1329630847
309	0.1328639882
310	0.1327947067
311	0.1327059227
312	0.1326177905
313	0.132488962
314	0.1324053639
315	0.132332278
316	0.1322400595
317	0.1320905292
318	0.1319881469
319	0.1318721641
320	0.131740638
321	0.1316715882
322	0.1315381042
323	0.1314102556
324	0.1313436279
325	0.1312374169
326	0.131154879
327	0.1310878756
328	0.1310009615
329	0.1309104272
330	0.1308394731
331	0.130744085
332	0.1306362592
333	0.1305680425
334	0.1304492745
335	0.13036825
336	0.1302743323
337	0.130196448
338	0.1301158012
339	0.1299824962
340	0.1298847912
341	0.1297734551
342	0.129702899
343	0.1295956697
344	0.1295373573
345	0.1294652232
346	0.1293597333
347	0.1292677618
348	0.1291701798
349	0.1290442703
